T_MeV,muB_MeV,P_over_T4,I_over_T4,s_over_T3,e_over_T4,nB_over_T3,CV_over_T3,cs2,phi_u,phi_d,phi_s,Phi,PhiBar,solve_residual,a1,a2,T0_MeV
116,0,0.097328526479,0.639511319899,1.02882542581,0.931496899335,0,10.1145185207,0.101717686681,-1.93092134355,-1.93092134355,-2.61199600904,0.214357022676,0.214357022676,1.46904095688e-15,-7.505272994,0.091848942829,175.695929622
118,0,0.10893722439,0.720073082422,1.15582197998,1.04688475559,0,11.3090154295,0.102203590329,-1.92280644667,-1.92280644667,-2.60951671319,0.23151595086,0.23151595086,2.30719095066e-15,-7.505272994,0.091848942829,175.695929622
120,0,0.121764185381,0.807740860633,1.29479760216,1.17303341678,0,12.5911367246,0.102834051482,-1.91346664,-1.91346664,-2.60664252096,0.249415603202,0.249415603202,6.82825532413e-15,-7.505272994,0.091848942829,175.695929622
122,0,0.135887564459,0.9026137465,1.44616400434,1.31027643988,0,13.9562877622,0.103620964899,-1.90275807202,-1.90275807202,-2.6033252789,0.267976922637,0.267976922637,1.76294412364e-14,-7.505272994,0.091848942829,175.695929622
124,0,0.151382429021,1.00468225852,1.6102119746,1.45882954558,0,15.3989092841,0.104566625135,-1.89052570902,-1.89052570902,-2.59951346595,0.287105520368,0.287105520368,4.1056325727e-14,-7.505272994,0.091848942829,175.695929622
126,0,0.168319290502,1.11383960062,1.78711676263,1.61879747213,0,16.9134292249,0.105662591475,-1.87660131352,-1.87660131352,-2.59515185016,0.306696608791,0.306696608791,8.42437357099e-14,-7.505272994,0.091848942829,175.695929622
128,0,0.186763035743,1.22990630679,1.97695844976,1.79019541402,0,18.4953163787,0.10688968003,-1.86080009546,-1.86080009546,-2.59018082152,0.326641101571,0.326641101571,1.53673088007e-13,-7.505272994,0.091848942829,175.695929622
130,0,0.206772412555,1.35266583389,2.17975548411,1.97298307155,0,20.1420645652,0.108219069453,-1.84291576722,-1.84291576722,-2.58453533817,0.346832037775,0.346832037775,2.48772634067e-13,-7.505272994,0.091848942829,175.695929622
132,0,0.22840015529,1.48190688508,2.39550750624,2.16710735095,0,21.8539751446,0.109614268818,-1.82271376998,-1.82271376998,-2.57814345091,0.367170470282,0.367170470282,3.58916725359e-13,-7.505272994,0.091848942829,175.695929622
134,0,0.251693758121,1.61746771566,2.62424274814,2.37254899002,0,23.6346802979,0.111033562336,-1.79992241438,-1.79992241438,-2.57092438815,0.38757015882,0.38757015882,4.63254801884e-13,-7.505272994,0.091848942829,175.695929622
136,0,0.276696836268,1.75927833899,2.86606568406,2.5893688478,0,25.4914208218,0.112432559334,-1.77422156747,-1.77422156747,-2.56278618716,0.407960728801,0.407960728801,5.33742033371e-13,-7.505272994,0.091848942829,175.695929622
138,0,0.303450971049,1.90739784221,3.12120172641,2.81775075536,-1.56157694016e-17,27.4351256506,0.113766627722,-1.74522832264,-1.74522832264,-2.55362285291,0.428289272561,0.428289272561,5.41754682343e-13,-7.505272994,0.091848942829,175.695929622
140,0,0.33199791356,2.06204511255,3.39003676679,3.05803885323,0,29.4803134193,0.114993240356,-1.71247884575,-1.71247884575,-2.5433110333,0.448520581002,0.448520581002,4.6530381429e-13,-7.505272994,0.091848942829,175.695929622
142,0,0.362382011878,2.22362125718,3.67314930469,3.31076729281,0,31.6447276072,0.116074606496,-1.67540538751,-1.67540538751,-2.53170626172,0.468636251931,0.468636251931,2.98436437147e-13,-7.505272994,0.091848942829,175.695929622
144,0,0.394652703585,2.39271973364,3.97133054798,3.5766778444,0,33.9483760728,0.116981458538,-1.63330751927,-1.63330751927,-2.51863902159,0.488632809262,0.488632809262,2.10788877561e-13,-7.505272994,0.091848942829,175.695929622
146,0,0.428866837615,2.57011370684,4.2855810573,3.85671421969,0,36.4111445941,0.117699707193,-1.58531758822,-1.58531758822,-2.50391142485,0.508518655585,0.508518655585,1.13407805374e-12,-7.505272994,0.091848942829,175.695929622
148,0,0.4650903813,2.75669525575,4.61705678095,4.15196639965,0,39.0471035429,0.11824325909,-1.53036379917,-1.53036379917,-2.48729659799,0.528309070697,0.528309070697,4.81660056493e-12,-7.505272994,0.091848942829,175.695929622
150,0,0.503398582523,2.95330925377,4.96690358387,4.46350500134,0,41.8514835887,0.118679271509,-1.467144306,-1.467144306,-2.46854587349,0.548017329301,0.548017329301,1.17472996688e-15,-7.505272994,0.091848942829,175.695929622
152,0,0.543872611705,3.16036146942,5.33585191624,4.79197930454,0,44.7724582522,0.119177104062,-1.39415197062,-1.39415197062,-2.44741540353,0.567637980386,0.567637980386,3.45971886204e-16,-7.505272994,0.091848942829,175.695929622
154,0,0.586588669281,3.37697556548,5.7233302426,5.13674157332,0,47.6558736895,0.120097058337,-1.30985101097,-1.30985101097,-2.42373611088,0.587115415541,0.587115415541,4.49966003088e-16,-7.505272994,0.091848942829,175.695929622
