T_MeV,phi_u,phi_d,phi_s,dphi_u_dT_MeV,dphi_d_dT_MeV,dphi_s_dT_MeV,residual
159.35,-1.04541023052,-1.04541023052,-2.35423363934,0.0585646880212,0.0585646880212,0.0145569596142,6.32924504528e-16
159.4,-1.04248066658,-1.04248066658,-2.35350584627,0.0586174361221,0.0586174361221,0.014554664853,1.12127029199e-15
159.45,-1.03954853046,-1.03954853046,-2.35277818272,0.0586675711209,0.0586675711209,0.0145517783203,4.15407418106e-16
159.5,-1.03661395342,-1.03661395342,-2.35205067832,0.0587150686094,0.0587150686094,0.0145482988176,1.05325004057e-15
159.55,-1.03367706795,-1.03367706795,-2.35132336274,0.0587599049552,0.0587599049552,0.0145442253667,8.63550852276e-16
159.6,-1.03073800766,-1.03073800766,-2.35059626569,0.0588020573258,0.0588020573258,0.0145395572123,7.52989890787e-16
159.65,-1.02779690734,-1.02779690734,-2.34986941694,0.0588415037105,0.0588415037105,0.0145342938247,1.95618453941e-12
159.7,-1.02485390276,-1.02485390276,-2.34914284624,0.0588782229481,0.0588782229481,0.0145284349029,1.93111442445e-12
159.75,-1.02190913083,-1.02190913083,-2.34841658338,0.0589121947426,0.0589121947426,0.0145219803757,1.90642876329e-12
159.8,-1.0189627294,-1.0189627294,-2.34769065813,0.0589433996892,0.0589433996892,0.0145149304047,1.87966314348e-12
159.85,-1.01601483728,-1.01601483728,-2.34696510025,0.0589718192943,0.0589718192943,0.0145072853854,1.85485197129e-12
159.9,-1.01306559419,-1.01306559419,-2.34623993949,0.0589974359956,0.0589974359956,0.0144990459492,1.82904114645e-12
159.95,-1.01011514068,-1.01011514068,-2.34551520555,0.0590202331819,0.0590202331819,0.0144902129649,1.8021575564e-12
160,-1.00716361812,-1.00716361812,-2.34479092807,0.0590401952115,0.0590401952115,0.0144807875391,1.77668336935e-12
160.05,-1.00421116865,-1.00421116865,-2.34406713665,0.0590573074304,0.0590573074304,0.0144707710177,1.75130269524e-12
160.1,-1.0012579351,-1.0012579351,-2.3433438608,0.059071556189,0.059071556189,0.0144601649861,1.72419932112e-12
160.15,-0.998304060968,-0.998304060968,-2.34262112994,0.0590829288584,0.0590829288584,0.0144489712699,1.698184627e-12
160.2,-0.995349690345,-0.995349690345,-2.34189897343,0.0590914138452,0.0590914138452,0.0144371919348,1.67169366217e-12
160.25,-0.992394967887,-0.992394967887,-2.34117742047,0.0590970006061,0.0590970006061,0.0144248292863,1.6460577968e-12
160.3,-0.989440038746,-0.989440038746,-2.34045650018,0.0590996796608,0.0590996796608,0.0144118858695,1.61970998299e-12
160.35,-0.986485048523,-0.986485048523,-2.33973624152,0.0590994426041,0.0590994426041,0.0143983644686,1.59387360391e-12
160.4,-0.983530143209,-0.983530143209,-2.33901667332,0.059096282117,0.059096282117,0.0143842681055,1.56729443358e-12
160.45,-0.980575469138,-0.980575469138,-2.33829782424,0.0590901919767,0.0590901919767,0.014369600039,1.54088689112e-12
160.5,-0.977621172924,-0.977621172924,-2.33757972278,0.0590811670654,0.0590811670654,0.0143543637631,1.51550684203e-12
160.55,-0.974667401411,-0.974667401411,-2.33686239727,0.0590692033781,0.0590692033781,0.0143385630055,1.48956200762e-12
160.6,-0.971714301614,-0.971714301614,-2.33614587582,0.059054298029,0.059054298029,0.0143222017255,1.4640151569e-12
160.65,-0.968762020665,-0.968762020665,-2.33543018637,0.0590364492574,0.0590364492574,0.0143052841117,1.4384812658e-12
160.7,-0.965810705756,-0.965810705756,-2.33471535661,0.0590156564313,0.0590156564313,0.0142878145798,1.41273233209e-12
160.75,-0.962860504081,-0.962860504081,-2.33400141403,0.0589919200509,0.0589919200509,0.0142697977697,1.3876083311e-12
160.8,-0.959911562783,-0.959911562783,-2.33328838587,0.0589652417505,0.0589652417505,0.0142512385425,1.36252567703e-12
160.85,-0.956964028892,-0.956964028892,-2.33257629913,0.0589356242988,0.0589356242988,0.0142321419772,1.33697026522e-12
160.9,-0.954018049273,-0.954018049273,-2.33186518054,0.0589030715987,0.0589030715987,0.0142125133676,1.31343467315e-12
160.95,-0.951073770569,-0.951073770569,-2.33115505657,0.0588675886855,0.0588675886855,0.0141923582182,1.28879853552e-12
161,-0.948131339139,-0.948131339139,-2.3304459534,0.058829181724,0.058829181724,0.0141716822406,1.26535210718e-12
161.05,-0.945190901009,-0.945190901009,-2.32973789693,0.0587878580042,0.0587878580042,0.0141504913493,1.24232143028e-12
161.1,-0.942252601811,-0.942252601811,-2.32903091275,0.0587436259359,0.0587436259359,0.014128791657,1.21907853305e-12
161.15,-0.939316586729,-0.939316586729,-2.32832502614,0.0586964950427,0.0586964950427,0.0141065894707,1.19516506405e-12
161.2,-0.936383000443,-0.936383000443,-2.32762026207,0.0586464759537,0.0586464759537,0.0140838912863,1.17293869305e-12
161.25,-0.933451987075,-0.933451987075,-2.32691664517,0.058593580395,0.058593580395,0.0140607037842,1.15104946283e-12
161.3,-0.930523690131,-0.930523690131,-2.32621419973,0.0585378211797,0.0585378211797,0.0140370338237,1.12904025548e-12
161.35,-0.927598252453,-0.927598252453,-2.32551294971,0.0584792121966,0.0584792121966,0.0140128884379,1.10732545824e-12
161.4,-0.924675816158,-0.924675816158,-2.32481291869,0.0584177683983,0.0584177683983,0.0139882748283,1.08661041122e-12
161.45,-0.921756522593,-0.921756522593,-2.32411412991,0.0583535057874,0.0583535057874,0.0139632003592,1.06580617014e-12
161.5,-0.918840512276,-0.918840512276,-2.32341660621,0.0582864414028,0.0582864414028,0.0139376725514,1.04548480234e-12
161.55,-0.915927924848,-0.915927924848,-2.32272037008,0.0582165933039,0.0582165933039,0.0139116990771,1.02584815342e-12
161.6,-0.913018899023,-0.913018899023,-2.3220254436,0.0581439805542,0.0581439805542,0.0138852877532,1.00596726866e-12
161.65,-0.910113572536,-0.910113572536,-2.32133184847,0.0580686232041,0.0580686232041,0.0138584465355,9.86179197877e-13
161.7,-0.907212082095,-0.907212082095,-2.32063960598,0.0579905422728,0.0579905422728,0.0138311835122,9.68241610033e-13
161.75,-0.904314563335,-0.904314563335,-2.31994873701,0.0579097597288,0.0579097597288,0.0138035068974,9.50487653816e-13
161.8,-0.901421150768,-0.901421150768,-2.31925926204,0.0578262984697,0.0578262984697,0.0137754250253,9.33076080824e-13
161.85,-0.898531977737,-0.898531977737,-2.31857120112,0.0577401823021,0.0577401823021,0.0137469463428,9.15548525513e-13
161.9,-0.895647176374,-0.895647176374,-2.31788457388,0.057651435919,0.057651435919,0.0137180794035,8.97820137458e-13
161.95,-0.892766877556,-0.892766877556,-2.31719939951,0.0575600848781,0.0575600848781,0.0136888328606,8.81780755043e-13
162,-0.889891210858,-0.889891210858,-2.31651569677,0.0574661555783,0.0574661555783,0.0136592154608,8.65887670652e-13
162.05,-0.887020304515,-0.887020304515,-2.31583348399,0.057369675236,0.057369675236,0.0136292360369,8.51328310526e-13
162.1,-0.884154285384,-0.884154285384,-2.31515277905,0.0572706718605,0.0572706718605,0.0135989035013,8.35707636801e-13
162.15,-0.8812932789,-0.8812932789,-2.31447359938,0.0571691742297,0.0571691742297,0.0135682268393,8.20319714421e-13
162.2,-0.87843740904,-0.87843740904,-2.31379596195,0.0570652118635,0.0570652118635,0.0135372151023,8.07140736595e-13
162.25,-0.875586798289,-0.875586798289,-2.3131198833,0.0569588149987,0.0569588149987,0.0135058774009,7.9308666561e-13
162.3,-0.8727415676,-0.8727415676,-2.31244537949,0.0568500145621,0.0568500145621,0.0134742228982,7.79999826082e-13
162.35,-0.869901836366,-0.869901836366,-2.31177246614,0.0567388421437,0.0567388421437,0.0134422608032,7.67524952071e-13
162.4,-0.867067722381,-0.867067722381,-2.31110115839,0.0566253299693,0.0566253299693,0.0134100003637,7.54722965145e-13
162.45,-0.864239341817,-0.864239341817,-2.31043147092,0.0565095108732,0.0565095108732,0.0133774508603,7.43512936244e-13
162.5,-0.861416809186,-0.861416809186,-2.30976341796,0.0563914182705,0.0563914182705,0.0133446215993,7.31671963791e-13
162.55,-0.858600237316,-0.858600237316,-2.30909701327,0.0562710861287,0.0562710861287,0.0133115219061,7.21709578094e-13
162.6,-0.855789737324,-0.855789737324,-2.30843227012,0.0561485489395,0.0561485489395,0.0132781611193,7.10012198032e-13
162.65,-0.852985418589,-0.852985418589,-2.30776920135,0.0560238416909,0.0560238416909,0.0132445485837,7.00575870856e-13
162.7,-0.850187388731,-0.850187388731,-2.30710781931,0.0558969998382,0.0558969998382,0.0132106936445,6.89981181684e-13
162.75,-0.847395753584,-0.847395753584,-2.30644813587,0.055768059276,0.055768059276,0.0131766056407,6.80898794419e-13
162.8,-0.844610617177,-0.844610617177,-2.30579016247,0.0556370563093,0.0556370563093,0.0131422938995,6.71810896286e-13
162.85,-0.841832081715,-0.841832081715,-2.30513391006,0.0555040276252,0.0555040276252,0.0131077677296,6.63391433007e-13
162.9,-0.839060247559,-0.839060247559,-2.30447938912,0.0553690102647,0.0553690102647,0.0130730364161,6.54300518094e-13
162.95,-0.83629521321,-0.83629521321,-2.30382660968,0.055232041594,0.055232041594,0.0130381092145,6.46801031908e-13
163,-0.833537075294,-0.833537075294,-2.30317558131,0.0550931592768,0.0550931592768,0.0130029953447,6.39008824018e-13
163.05,-0.830785928544,-0.830785928544,-2.3025263131,0.0549524012461,0.0549524012461,0.0129677039862,6.32184699492e-13
163.1,-0.828041865794,-0.828041865794,-2.30187881371,0.0548098056765,0.0548098056765,0.0129322442722,6.24618321242e-13
163.15,-0.825304977962,-0.825304977962,-2.30123309133,0.0546654109569,0.0546654109569,0.0128966252847,6.18302569711e-13
163.2,-0.822575354041,-0.822575354041,-2.30058915369,0.0545192556632,0.0545192556632,0.0128608560495,6.11608210527e-13
163.25,-0.819853081093,-0.819853081093,-2.29994700808,0.0543713785315,0.0543713785315,0.012824945531,6.05613990436e-13
163.3,-0.817138244238,-0.817138244238,-2.29930666134,0.0542218184316,0.0542218184316,0.0127889026278,6.00352358877e-13
163.35,-0.81443092665,-0.81443092665,-2.29866811988,0.0540706143407,0.0540706143407,0.0127527361681,5.94388564744e-13
163.4,-0.811731209552,-0.811731209552,-2.29803138964,0.0539178053182,0.0539178053182,0.0127164549049,5.88855656841e-13
163.45,-0.809039172214,-0.809039172214,-2.29739647615,0.0537634304799,0.0537634304799,0.0126800675124,5.83397596549e-13
163.5,-0.806354891949,-0.806354891949,-2.29676338451,0.0536075289733,0.0536075289733,0.0126435825813,5.796711294e-13
163.55,-0.803678444109,-0.803678444109,-2.29613211938,0.0534501399537,0.0534501399537,0.0126070086152,5.74467071482e-13
163.6,-0.801009902093,-0.801009902093,-2.29550268499,0.0532913025596,0.0532913025596,0.0125703540268,5.7004626887e-13
163.65,-0.798349337341,-0.798349337341,-2.29487508518,0.0531310558902,0.0531310558902,0.0125336271343,5.65756298272e-13
163.7,-0.795696819341,-0.795696819341,-2.29424932335,0.0529694389821,0.0529694389821,0.0124968361581,5.6216610696e-13
163.75,-0.79305241563,-0.79305241563,-2.2936254025,0.0528064907871,0.0528064907871,0.0124599892173,5.58509916333e-13
163.8,-0.790416191802,-0.790416191802,-2.29300332523,0.0526422501509,0.0526422501509,0.012423094327,5.54602797069e-13
163.85,-0.78778821151,-0.78778821151,-2.29238309373,0.0524767557918,0.0524767557918,0.012386159395,5.51156933855e-13
163.9,-0.785168536475,-0.785168536475,-2.29176470982,0.0523100462804,0.0523100462804,0.0123491922194,5.47998021384e-13
163.95,-0.782557226495,-0.782557226495,-2.29114817492,0.0521421600194,0.0521421600194,0.0123122004858,5.44137928109e-13
164,-0.779954339449,-0.779954339449,-2.29053349006,0.0519731352248,0.0519731352248,0.0122751917652,5.40904782179e-13
