T_MeV,s_over_T3,P_over_T4,e_over_T4,I_over_T4,cV_over_T3,cs2
330,15.9514044651,3.32115748611,12.630246979,2.66677452065,55.7044644597,0.286357738465
335,16.068215416,3.3609417687,12.7072736473,2.62444834116,55.8907707965,0.287493179768
340,16.1809176878,3.39951494072,12.781402747,2.58285792488,56.0719422185,0.288574232451
345,16.2897339327,3.43692338735,12.8528105454,2.54204038331,56.2483245536,0.289603895974
350,16.3948723304,3.47321196477,12.9216603656,2.5020244713,56.4201911418,0.290585196515
355,16.4965270903,3.50842397257,12.9881031177,2.46283120001,56.587757074,0.291521133604
360,16.5948790767,3.5426011373,13.0522779394,2.42447452754,56.7511909107,0.2924146403
365,16.6900965092,3.57578360693,13.1143129023,2.38696208153,56.9106242111,0.293268554696
370,16.7823357024,3.60800995553,13.1743257468,2.35029588025,57.0661591992,0.294085600606
375,16.871741818,3.63931719719,13.2324246208,2.31447302925,57.2178748801,0.294868375544
380,16.9584496105,3.66974080801,13.2887088025,2.27948637845,57.3658318827,0.295619344372
385,17.0425841502,3.69931475488,13.3432693953,2.24532513067,57.5100762692,0.29634083722
390,17.1242615169,3.72807152998,13.396189987,2.21197539701,57.6506425186,0.297035050588
395,17.2035894569,3.75604218978,13.4475472671,2.17942069776,57.7875558528,0.29770405069
400,17.2806679999,3.78325639752,13.4974116024,2.14764240984,57.920834046,0.298349778357
